PC1,PC2,Cluster
-1.0512997101476167,0.642813178450082,0
1.1385700649221988,0.028325968205335318,2
1.02485267931944,-0.07111268377789672,3
1.1954799451198368,-0.24221176757499535,1
-0.9424208609848459,-0.5787285341133349,0
-0.6242429122152622,0.46173144847025605,3
-1.077986684238553,-1.1797018920971685,1
0.050979442586160495,0.8202466286679037,3
3.528829519485371,-0.22852954321006175,2
1.9046722936666298,-1.0106259685937762,2
-0.318761084549839,0.6302000422173821,3
0.9070068475109371,-0.595999143739035,1
-0.7245695913001362,-2.1103836143979735,1
0.31496585719083764,-0.3851534519017952,1
1.548240226662771,0.14780356706127754,2
0.4011804317335771,1.0457342513340113,3
-0.3807064206599202,0.776331191571381,3
0.6124737196943025,0.4438653048024823,3
-0.5436603322353618,-0.15753226510877766,0
1.9371742330083235,0.527669106149799,2
-1.7117187782983687,0.32962646379400995,0
-0.3503837666822245,-0.5591630947972966,1
1.1403668742882425,-0.3539051655402632,1
2.077036920365755,-0.31047532133685024,2
1.5735614127681132,0.09550448240533244,2
2.2542658264635818,0.4924581754134637,2
-0.08318414189111845,0.4980811001879215,3
-1.3119594585638679,-1.0459012805682688,0
-0.3177991867123631,-1.1042403421311757,1
-0.8761629484243971,-0.5873903921032165,0
-0.30156060599858636,0.9273143041393624,3
-2.9474420249635847,-0.2882609384022666,0
-0.3028791135022305,-0.3389339552282365,1
-1.4971997608492422,0.3067552350254861,0
1.179120390376831,0.6267752860786391,3
0.9606357153315735,-0.36518055515374315,1
-0.37947881188670557,-0.5004534785359676,1
-0.7215408137378913,-0.46700163768617126,1
1.6503425616266487,0.6967006854138401,2
-1.4956100709677276,0.017451457785739474,0
2.3810088162053953,-1.061747516644429,2
-0.0665456846623945,0.06530693710165474,3
-0.7252665799865976,-1.1788663797256211,1
-0.9381075911516287,-1.530966233381831,1
1.7907164203795811,-0.15673244948030343,2
0.5869346507753881,-0.8721503922256779,1
4.066948187870687,-0.12069476407589362,2
-1.6807301890322068,-0.24936974608918827,0
0.6408235535730629,1.2628415409308404,3
-0.5681158881189445,-0.15036669078763676,3
0.5072136149036834,1.0417152321889758,3
1.8504727344893217,0.16635613730201185,2
1.7343489176544622,-0.4148838815749914,2
0.7315626882742302,-1.673053454109372,1
-0.5975631857516274,0.8245569755402896,3
0.46597809043530425,-1.2000158492112567,1
1.0129276317044074,0.3295269267298452,3
-0.9820353290037499,0.7917130962052129,0
1.3168878034388294,0.5438017353079599,2
-1.2071361384639105,0.6587912148749452,0
0.5355248538623706,0.40287036756776967,3
-2.160720259993544,0.314993255253444,0
1.811132254531775,0.9040841690645943,2
-0.03919774897238064,-0.6739928985837543,1
-0.2983633600600119,0.6151353689034038,3
0.3853187260749152,-0.6653757512752909,1
-1.441274144632713,-0.6245373467061125,0
0.30830128660895206,-0.6879972036860854,1
1.605011702053835,1.257949203412361,2
0.2330869557200995,0.476849979683326,3
1.3751788365114548,0.14807846125178187,2
0.687465431819311,-1.5168594987711883,1
3.2716078716427948,0.9045996873709851,2
